ID,Initial,MostCommonName,ScientificName,Type,Description,CommonName1,CommonName2,CommonName3,CommonName4,Leaves1,Leaves2,Leaves3,Leaves4,Bark1,Bark2,Bark3,Bark4,Flowers1,Flowers2,Flowers3,Flowers4,Fruits1,Fruits2,Fruits3,Fruits4,Link1,Link2,Location,Map
25,C,Cycas,Cycas circinalis,Evergreen ,"Queen sago is a medium sized suckering cycad, growing 3 to 5 metres tall, exceptionally to 10 metres. Only gymnosperm species found among native Sri Lankan flora. the plant is classified as 'Endangered' in the IUCN Red List of Threatened Species(2011). It is now thought that Cycas circinalis is endemic to India, where it occurs in the Western Ghats, in the states of Kerala, Karnataka, Tamilnadu and Maharashtra.",Queen Sago,Common Pitago,Cycad,Cycas,"Compound, bright green, slightly glossy",150 to 170 cm long,54 to 110 leaflets per leaf,Leaflets are arranged oppositely,"Thick, corky",Dark brown in color,"Rough, scaly with round scars",,This plant is a cycad,Cycads are gymnosperms,Flowers are not present,Male and female plants are present,"Male cones are yellowish brown, egg shaped",Female plants carry ovules and seeds,Seed is poisonous,Potent poison in the seeds is removed by soaking them in water,,,Behind old SAC(Beside swimming pool road),"<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1tMCcvtJLaLNXqOHRMP3zLH0U7KQ70dJc"" width=""640"" height=""480""></iframe>"
26,D,Dhaman,Grewia tiliifolia,Deciduous,"Dhaman is a moderate-sized to large tree, attaining a height upto 10m. and a girth of 2m. or more, belongs to Tiliaceae (Phalsa family). Globally distributed in tropical Africa, India and Indochina. Flowering starts in month of April. Fruiting throughout the year. The astringent and refreshing Grewia drupes are particularly popular in summertime. Bark/fruit juice is applied externally to relieve itching and to heal wounds faster.",Dhanu Vriksha,Dhamani,Unnam,Dhaman,"Simple, alternate, acute apex",Obliquely ovate to round,"Pinnate, double serated margin",3 to 6 pairs of lateral nerves ,"Rough, hard trunk",Dark brown or greyish brown,Vertically stirated,,"Small, yellow, 5 petals and sepals",They are bisexual,Borne on thick axillary peduncles,Peduncle 1.5-2 cm long,"Small drupe, size of pea",Globose to subglobose in shape,"Edible, 2 to 4 lobed",Reddish purple to black,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/Tj7xUbTuvYw?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=Tj7xUbTuvYw&index=48&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Academic area, near H12 and H6, near T point","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1CfuX-l34wPTCC4EVg4fpamjuxQKLxg7r"" width=""640"" height=""480""></iframe>"
27,D,Drumstick Tree ,Moringa oleifera,Deciduous,"Shevga is the most widely cultivated species of the genus Moringa, the only genus in the family Moringaceae. It is a fast-growing, drought-resistant tree, native to the southern foothills of the Himalayas in northwestern India, and widely cultivated in tropical and subtropical areas where its young seed pods and leaves are used as vegetables. This tree used to combat malnutrition, especially among infants and nursing mothers.",Shevga,Horseradish Tree,Ben Oil Tree,Moringa,"Tripinnately compound, alternate",Elliptical to obvate ,Each pinnate has 4 to 6 pairs of leaflets,Leaflets are 1 to 2cm long,Thick cork covering,"Greenish white, hairy when young",Whitish grey as it ages,,"Small, yellowish white, fragrant","They are asexual, grow in clusters","Five unequal, thinly veined petals","1 to 1.5cm long,  about 2.0cm broad.",Hanging 3 sided brown capsule,20 to 45cm in length,Dark brown globilar seeds,Seeds have 3 papery whitish wings,,,Lakeside road,"<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1P2-Sch-wXGQ2ixmieYcrImVneluD_XDb"" width=""640"" height=""480""></iframe>"
28,F,Fishtail Palm,Caryota urens,Evergreen,"This is a flowering plant in the palm family from the Indian Subcontinent and Southeast Asia. After a certain age they start producing flowers at the top of the trunk with subsequent flowers produced lower and lower parts of the trunk. When the lowest flower blooms,(After completion of flowering and fruiting process) the tree dies. Cultivated as an ornamental tree, and planted in gardens and parks in tropical and sub-tropical climates.",Jaggery Palm,Toddy Palm,Wine Palm,Solitary Fishtail Palm,"Compound, bipinnate ","Tringular, bright to deep green","3.5m long, held on 60cm long petioles",Pointed edged obdeltoid pinnae are 30cm long ,"Smooth, hard trunk",Greyish white in color,Regularly spaced leaf scar rings,,"White, appear as pendant clusters",They are unisexual,Inflorescences emerge at each leaf node,Inflorescenes is about 3m long,Small round drupe,Contains oxalic acid,Red in color with one seed,Powered pulp is edible and sweet,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/e6S83MU-E1M?ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=e6S83MU-E1M&t=2s,"T point, Inside H2, H5, near Campus hub, SAC entrance","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1a6YSIihPfjr6BxVZ50QCiFUZQP9hNYKZ"" width=""640"" height=""480""></iframe>"
29,F,Frangipani,Plumeria rubra,Deciduous,"Plumeria is native to warm tropical areas of the Pacific Islands, Caribbean, South America and Mexico. It grows as a spreading tree to 7 to 8m high and wide, and is flushed with fragrant flowers of shades of pink, white and yellow over the summer and autumn. It has been widely cultivated in subtropical and tropical climates worldwide and is a popular garden and park plant, as well as being used in temples and cemeteries.",Chafa,Champa,Plumeria,Temple Tree,"Simple, alternate, deep green","Leathery, fleshy, clusterd at branch tips",About 30 to 50cm long,Tend to fall in early winter,"Smooth, thin, woody trunk",Greyish white in color,Thick succulent trunk,,"Terminal, stronly fragrant, 5 to 7.5cm in diameter",Flowering is profuse and prominant,Common pink to white in color ,Shades of yellow in the centre ,Black brown pod,Length of pod is around 17 to 18cm,Pod contain 20 to 60 winged seeds,Seeds are rarely produced,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/N04JqMWU3lQ?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=N04JqMWU3lQ&index=26&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Entrance of H3, Behind Mechanical Dept. building(Eastside), Inside Kshitij garden","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1UNYfEq3eDrKEXwlW9uUbdQHIHKMcH-WB"" width=""640"" height=""480""></iframe>"
30,G,Ghost Tree,Sterculia urens,Deciduous,"Ghost tree belongs to family Malvaceae. It is native to Indian subcontinect, indochina and Malesia. A small to medium-sized tree, growing upto height of 15m, with horizontally spreading branches. A natural valuable gum known as karaya gum is exuded by traditionally tapping or by cutting or peeling back the bark. Which is used as a thickener in cosmetics and medications. Seeds are eaten after roasting.",Bhutya,Gum Karaya,Sterculia Gum,Indian Tragacanth,"Simple, alternate with entire margin",Clustered at the tips of branchlets,3 to 5 lobed with acuminate apexes,Pinnate 5 to 7 pairs of lateral nerves  ,"Smooth, thick, fibrous","White, greenish grey","Exfoliating in large, thin, papery flakes",,"Small, yellowish green, no petals",They are bisexual,Produced in axillary panicles,About 2.5cm in diameter,Aggregate of 4 to 6 follicles,"Red, densly pubescent",Split open when ripe,"3 to 6 oblong, brown black seeds","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/kKcNVl_AMac?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=kKcNVl_AMac&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=28,Near H6,
31,G,Giripushpa,Gliricidia sepium,Deciduous,"Tree from Mexico and South America that is used both to provide shade to chocolate trees and also enrich the soil, hence the common name 'mother of cocoa'. A medium size leguminous tree which grows upto a height of 10 to 12m, belongs to the family Fabaceae. In various parts of America, the bark is used as rat poison. Leaves are nutritious and fed to livestock and poultry to increase productivity.",Quickstick,Mother of Cocoa,Mexican Lilac,Gliricidia,"Compound, bright green with entire margin",Elliptic with acuminate apexes,"Leaflets are 2 to 7cm long, 1 to 3cm wide",Crushed leaf smells strong,"Smooth, hard trunk",Greyish white to deep red brown,Flaked with small white lenticles,,"Bright pink to lilac, tinged with white",Pale yellow spot at base,Located on the end of branches that have no leaves,Flowering from February to April,"Flat, woody pod which is 10 to 15cm long",Pod is green when unripe,Yellow brown when it reaches maturity,4 to 10 round brown seeds,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/RK9uanS1eII?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=RK9uanS1eII&index=29&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Academic area, Beside LHC, near H12",
32,G,Guava,Psidium guajava,Evergreen,"Common guava is an evergreen shrub or small tree native to the Caribbean, Central America and South America. It is easily pollinated by insect. In culture, mainly by the common honey bee, Apis mellifera. Widely cultivated in tropical and subtropical regions around the world for its fruit. The plant is used in many shampoo products for its scent. It is also becoming a popular bonsai species, currently quite popular in India and Eastern Asia.",Common Guava,Lemon Guava,Peru ,Amrood,"Simple, oppositely arranged, thick","Rounded base, obtuse apex","Leathery, dull grey to yellow green",Entire margin with prominent veins,"Smooth, thin ",Light to reddish brown,Continously flaking,,Borne singly on upper leaf axils,4 to 5 green sepals(6 to 15mm long),4 to 5 petals( 10 to 20mm long) ,Petals are fused with sepals,Rounded or egg shaped or pear shaped,Green to yellowish as it matures,"Juicy pink, white or yellowish pulp",Yellowish seed are kideny shaped,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/iEazMTV2mv8?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=iEazMTV2mv8&index=21&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,Inside most of the hostels,
33,G,Gulmohar,Delonix regia,Evergreen to Deciduous,"Flame tree is a one of the most beautiful(Often said as World's most colorful tree), fast-growing tree with an umbrella shaped, spreading crown with the long, nearly horizontal branches forming a diameter that is wider than the tree’s height. One of the most widely cultivated ornamental plants in the world, grown in gardens and by the sides of roads. Classified as 'Vulnerable' in the IUCN Red List of Threatened Species(2010).",Flame Tree,Royal Poinciana,Flamboyant,Krishnachura,"Compound, oppositely arranged, bipinnate","Feathery, fern like, light bright green", 20 to 40 pairs of primary leaflets or pinnae ,10 to 20 pairs of secondary leaflets or pinnules.,"Smooth, hard trunk ",Dark brown in color,Often creased at branch forks,,Four spreading scarlet or orange-red petals ,Fifth upright petal called the standard,"Standard is slightly larger, spotted with yellow and white",Flowering from April to June,Green and flaccid young pods,Woody and dark brown as they mature,Upto 60cm long and 5cm wide,,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/jMO99eFBeAQ?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=jMO99eFBeAQ&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=30,"Present all over the institute, Especially inside hostels, Behind CRESIT, and beside convo hall","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1BEpnbWDSvd6zYLk7h-TLDssntRSWosof"" width=""640"" height=""480""></iframe>"
34,I,Indian Charcoal Tree,Trema orientalis,Evergreen to Deciduous,"Indian charcoal tree is a species of flowering tree in the hemp family, Cannabaceae. A fast-growing shade tree with soft foliage.  Wood  of this tree is relatively soft, and burns easily and quickly when dry. The wood is suitable for paper and pulp production, producing paper with good tensile strength and folding endurance. Has a high ecological impact with at least 14 species of butterfly using it as a larval food plant.",Oriental Trema,Pigeon Wood,Gunpowder Tree,Ghol,"Simple,alternate, 3 to 4 lateral nerves",Ovate or oblong-lanceolate,"Base obliquely cordate, acuminate apex",Leaf margins are finely serrated,"Rough, thin",Greyish to bluish green,Creamy yellow inside,,"Small, inconspicuous and greenish",They are unisexual,Seperate male and female flowers,Carried in short dense bunches,Drupe with persistant stylar tip,"Black, globose",Seed is ovoid globose,Fruiting is throughout the year,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/URJxR0_bxqM?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=URJxR0_bxqM&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=27,"Present all over the institute, Especially on boathouse to H8 road","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=16A_d693vTr54I-jYn1xx8PBYRnmbL4cJ"" width=""640"" height=""480""></iframe>"
35,I,Indian Cork Tree,Millingtonia hortensis,Evergreen,"The Indian Cork Tree is mainly grown in gardens for its ornamental value. Sole species in the genus Millingtonia, native to South Asia & South East Asia. It is also cultivated as an avenue tree although it does not produce enough shade and the limbs may break off easily in strong winds. The tree produces creamy white wood with fine grains. More commonly, it is used for making souvenirs and gift items. ",Tree Jasmine,Neem Chameli,Kaval Nimb,Latak Chandni,Resembles that of neem leaves,Pinnately compound with odd number of leaflets,Leaflet is ovate/ lanceolate,Smooth or slightly wavy margins,Cracked ashy bark,Furrowed with numerous fissures,Removal of cork is easy,,"Tiny bell shaped, 4 waxy white petals",Flower is a larger version of jasmine,Open at night and delightfully scented,Flowering from October to December,Slender compressed capsule,Capsule is about 45cm long,Pointed at both ends,Thin flat seeds,,,"Near H9, Behind Jalvihar(Eastside), near new SAC building",
36,I,Indian Elm Tree,Holoptelea integrifolia,Deciduous,"Indian Elm is a large tree, gowing up to 18m tall, belongs to family Ulmaceae (Elm family). Native to India, Sri Lanka, Myanmar and Indo-China. Crushed leaves emit an unpleasant odour. Flowering takes place in months of January and February while fruiting occurs throughout April and May. Excellent source of fodder for livestock.The bark of Indian Elm is used in rheumatism. Seed and paste of stem bark is used in treating ringworm.",Jungle Cork tree,Kanju,Chilbil,Ainasadada,"Simple, alternate, smooth",Ovate or elliptic ovate with entire margin,"Rounded base, acuminate apex",6 to 9 pairs of lateral prominant nerves,"Whitish grey, smooth",Covered with blisters,Peeling in corky scales on old trees,,"Small, greenish yellow to brownish",Borne in short racemes or fascicles,"Male, female bisexual flowers on same tree","Velvety sepals, 4 to 5 in number",Fruit is a circular samara,2.5 to 3cm in diameter,"Glabrous, nerved wings",1 flat seed,,,"Near Sarovar udyan, beside H4, behind library(Beside swimming pool road)",
37,I,Indian Rock fig,Ficus arnottiana,Deciduous,"Indian rock fig is a tree which is commonly mistaken for peepal (Ficus religiosa).The leaf tips of Ficus religiosa are tapering, acuminate and long as against the leaf tips of F. arnottiana which are pointed and acuminate but not long. Globally distributed in India and Sri Lanka. Grows upto a height of 10m and aerial roots are absent. Flowering and fruiting occurs from December to April.",Rock Peepal,Wild Peepal,Paras Peepal,Pimpli,"Simple, alternate, spiral","Reddish green, broadly ovate","Deeply cordate base, acuminate apex","5 to 8 pairs of lateral nerves, entire margin","Smooth, grey brown",Pink inside with milky latex,"Tuberculate, lenticellate",,Inflorescence inside syconium,They are unisexual,Not visible from outside,Pollinated by specialized fig wasp,Flowers and seed sare borne inside fruit,5 to 7cm in diameter,"Smooth, achenes",Yellowish brown when ripe,,,Inside nursery ,
38,I,Indian Rubber Tree,Ficus elastica,Deciduous,"Indian rubber tree is a large tree in the banyan group of figs, native to east India, Nepal, Bhutan, Burma, China, Malaysia, and Indonesia. Growing upto 30 to 40m , With a stout trunk up to 2m in diameter. The trunk develops aerial and buttressing roots to anchor it in the soil and help support heavy branches. Grown around the world as an ornamental plant. Yields a milky white latex, formerely used to make rubber.",Rubber fig ,Rubber Bush,Rubber Plant,Indian Rubber Bush,"Broad, shiny, leathery, deep green ",Size is largest on young plats(Upto 45cm),Size is much smaller on old plants(Upto 10cm),"Acuminate at apex, rounded at base",Young branches are glabrous,yellowish brown to grey ,Exfoliating epidermis,,Not visible from outside,Bloom inside the ensemble of fruits,Pollinated by specialized fig wasp,Reproduce via cross pollination,"Small, multiple fruit, two fruits per node","Obovoid, 1 to 2cm long","Glabrous, yellowish green with dark spots",Barely edible,,,Inside H2   ,
39,J,Jackfruit,Artocarpus heterophyllus,Evergreen,"The jackfruit tree, belogs to family Moraceae is well suited to tropical lowlands, and its fruit is the largest tree-borne fruit. The seeds from ripe fruits are edible. The jackfruit tree is a widely cultivated and popular food item throughout the tropical regions of the world. It is the national fruit of Bangladesh and Sri Lanka and the state fruit of the Indian states of Kerala and Tamil Nadu. Kerala is the largest producer of jackfruit in the world.",Fenne,Pansam,Kathal,Phanas,"Simple, alternate, oblong","Top dark green, underside pale green","9 to 23cm long, 5 to 12cm wide","Pinnately nerved, with 5-12 pairs of veins",Dark brown with orange patches,"Rough, uneven, somewhat scaly",Exfoliating in large thick flakes,,"Minute, yellowish green",They are unisexual,Present in spikes enclosed by spathe-like bracts,Male and female spikes present on same tree,Multiple fruit covered with pointed/blunt spines,"Yellowish green, large, oblong",Yellow to light orange flesh,"Smooth, glossy, elliptic seeds","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/xIitd6KczSg?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=xIitd6KczSg&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=31,"Inside most of the hostels, near Main gate","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1C_Amu5yDo4jLmViJEE-JB1sf_89sB-kK"" width=""640"" height=""480""></iframe>"
40,J,Jamun,Syzygium cumini,Evergreen,"Jamun is a tropical tree in the flowering plant family Myrtaceae. Native to the Indian Subcontinent, adjoining regions of Southeast Asia, China and Queensland. A slow growing species which can reach heights of up to 30 m and can live more than 100 years. Its dense foliage provides shade and is grown just for its ornamental value. Fruit is a rich source of vitamin A and vitamin C. It has been spread overseas from India by Indian emigrants. ",Black Plum,Java Plum,Jambolan,Black Plum,"Simple, glossy, dark green, yellow midrib","Smooth, pinkish when young","Leathery, elliptic to oblong",Have an aroma similar to turpentine,"Base of the tree, the bark is rough, dark grey","Lighter grey, smoother higher up",Exfoliating in large flakes,,"Small, fragrant, cream colored",Borne in axillary clusters,About 5mm in diameter,Flowering from March to April,Globose berry with single seed,Green to pink to red to purple black,"Mix of sweet, mildly sour and astringent flavour",Develop by May or June,,,"Inside most of the hostels, inside NSS nursery, near T point, near H9","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1Gtb-h44pM3-o7vEOl6jq225eMHdO2hzg"" width=""640"" height=""480""></iframe>"
41,K,Kadamb,Neolamarckia cadamba,Evergreen,"Kadamb is native to South and Southeast Asia. It can reach up to 45 m in height. A large tree with a broad crown and straight cylindrical bole. It is quick growing, with broad spreading branches and grows rapidly in the first 6 to 8 years. The flowers are used in perfumes. The tree is grown as an ornamental plant and for timber and paper-making. In Hindu mythology, Kadamb was the favourite tree of Krishna.",Burflower Tree,Wild Cinchona,Kadam,Rudrakskamba,"Simple, opposite with entire margin","Base truncate, apex acuminate","Ovate, 10 to 25cm long, 6 to12 cm wide ","Pinnate, prominant,10-14 pairs of lateral nerves ",Pale brown in color,Vertically shallowly grooved,Exfoliating in small rectangular flakes,,"Small, yellowish orange, sweetly scented",They are bisexual,About 5.5cm in diameter,Flowering from April to August,"Occur in dense, globular heads",Capsule on a fleshy globose receptacle,Yellow/orange coloured infructescence,"Around 8000 minute, angular seeds","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/4VXS5vXbfYg?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=4VXS5vXbfYg&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=32,"SAC parking lot, near H3, H11, lakeside road","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1IMd3VGvHO0HnGIMsbfjvU8-X-FbbZFde"" width=""640"" height=""480""></iframe>"
42,K,Kadipatta,Murraya koenigii,Evergreen,"The curry tree (Murraya koenigii) is a tropical to sub-tropical tree in the family Rutaceae (the rue family, which includes rue, citrus, and satinwood), which is native to India and Sri Lanka. Its leaves are used in many dishes in India, Sri Lanka, and neighbouring countries. Fresh seeds and stems can be used for propagation. Leaves are also used to cure diarrhoea, dysentry and checking vomitting. Bark-paste is antisceptic, applied to skin eruptions.",Curry Leaf,Kari Patta,Kari Vepa Chettu,Girinimb,"Aromatic, compound, pinnate","Ovate, shiny, thin, dark green leaflets",11 to 21 leaflets per leaf,"Leaflet is 2 to 4 cm  long, 1 to 2cm broad ","Smooth, thin, flexible trunk",Greenish grey to brown ,Trunk diameter can be upto 40cm,,"Small, white, fragrant",Self pollinating,Appear in terminal clusters,Bloom irregularly throughout the year,Bluish black with 1 to 2 seeds,5 to 8 cm in diameter,Ovoid to oblong in shape,Berry pulp is edible,,,Inside NSS nursery,
43,K,Kailashpati,Couroupita guianensis,Deciduous,"This large tropical tree, reaches upto heights of 35m , indigenous to the Amazon rainforest, is listed as a rare tree and flower in India. Cultivated in many other tropical areas throughout the world because of its beautiful, fragrant flowers and large, interesting fruits. Fruits are spherical with a woody shell and reach diameters of up to 25 cm, which give the species the common name 'Cannonball tree'. The fruits take up to 1 to 1.5 year to mature. ",Cannonball Tree,Naglinga,Tope Gola,Shivlingam,"Simple, spirally arranged","Smooth, velvety with serrate margins","8 to 31cm long, can reach upto 57cm",Leaves are shedded twice a year,"Rough, greyish brown",Vertically fissured,Exfoliating in large flakes,,Stunning with 6 large fleshy waxy-petals,"Petals are red inside, yellow outside",Produced in racemes(Upto 80cm long),"Strongly scented, especially fragrant at night",Spherical with woody shell,Can reach upto 25cm in diameter,Fruits take about 1 to 1.5 year to mature,"Crack open, exposing 200 to 300 hairy seeds","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/gkGv9GRJUMU?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=gkGv9GRJUMU&index=33&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Inside H4, behind Gulmohar cafetaria(Southside), in front of H8 entrance","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1Q7N-_dyorMpqdKFRSO_ypbZOeiScDvF2"" width=""640"" height=""480""></iframe>"
44,K,Kaju,Anacardium occidentale,Evergreen,"The Cashew is a flowering tree, native to northeastern Brazil, where it is called by its Portuguese name Caju (the fruit) or Cajueiro (the tree). It is a small evergreen tree growing to 10 to 14m tall, with a short, irregularly shaped trunk. The cashew apple is a light reddish to yellow fruit, whose pulp can be processed into a sweet, astringent fruit drink or distilled into liquor. The cashew nut, often simply called a cashew, is widely consumed. ",Cashew Nut ,Cashew Apple,Godambi,Hijli Badam,"Simple, alternate with entire margin","Leathery, acute base, round obtuse apex","Lamina is 6 to 15.5cm long,  3 to 8cm wide",10 to 15 pairs of parallel lateral nerves,"Smooth, pale grey to brown",Vertically fissured,Sticky exudation,,"Small, yellow with pink streaks",Male and female bisexual flowers present on same plant,5 slender 7 to 15mm long petals,Flowers are produced in a panicle or corymb,True fruit is kideny shaped nut,This nut grows at the end of pseudofruit,"Within true fruit there is single seed, the cashew nut",Seed is also kideny shaped,,,Inside H4,"<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1bvGbntZ7aEdoLEuqmMfBySUoF2-JzoA_"" width=""640"" height=""480""></iframe>"
45,K,Kala Umbar,Ficus hispida,Evergreen,"Hairy fig is a small but well distributed species of tropical fig tree, belongs to family Moraceae(Mulberry family). It is a Shrub to medium sized tree, up to 10 m tall. It occurs in many parts of Asia and as far south east as Australia. Like a number of ficus, the leaves are sandpapery to touch. Flowering and fruiting occurs throughout the year. ",Hairy Fig,Devil Fig,Katgularia,Bokheda,"Simple, opposite, dentate margin","Round base, acuminate apex","Lamina is 7 to 20cm long, 6 to 10 cm wide","Pinnate, prominent 5 to 6 pairs of lateral nerves  ","Smooth, trunk is hard","Greyish brown, yellow inside",Milky white latex comes after a cut,,Unisexual flowers,Not visible from outside,Bloom inside the ensemble of fruits,Pollinated by specialized fig wasp,Green to yellow to red,"Round, 2 to 2.5cm in diameter",Covered with short hairs,Hang on stem and branches in clusters,,,"Present all over the insti, especially near SAC parking lot and H11",
46,K,Kanchan,Bauhinia variegata,Deciduous,"Orchid tree is a species of flowering plant in the family Fabaceae. It is native to South Asia and Southeast Asia. Orchid tree is staggeringly beautiful when in bloom. It is a small to medium-sized tree growing to 10 to 12 metres tall, and sheds its leaves in dry season. This is a very popular ornamental tree in subtropical and tropical climates, grown for its scented flower, also used as food item in South Asian cuisine.",Camel's foot tree,Mountain ebony,Kachnar,Kovidara,"Simple, deeply cordate, dull green",Rounded and bilobed at base and apex,They are similar to camel's foot,10 to 20cm long and broad,"Rough, cracked",Greyish brown  ,Exfoliating in small flakes,,"Showy, purple pink colored",Appear in clusters at branch tips,5 petalled with 10 to 12cm in diameter,Flowering from January to March,"Long, hard, flat pod and bursts open ","Pod is 20 to 30cm long, 2 to 2.5cm wide",10 to 15 seeds in each pod,Seeds are fried and then eaten,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/2pP5Sx34i9Q?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=2pP5Sx34i9Q&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=34,"Present all over the institute, especially on both sides of road from H11 to T point","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1CLBAWhyCacK1BQ0ohgjek3fqizgKJohE"" width=""640"" height=""480""></iframe>"
47,K,Kaner,Nerium oleander,Evergreen,"Kaner is a shrub or small tree in the dogbane family Apocynaceae, toxic in all its parts. It is the only species currently classified in the genus Nerium. A native of India and the Mediterranean, now widely grown in tropical and subtropical gardens, parks, avenues, and is popular for its hue and fragrance. It rises up to 2 to 6 meters, erect with its short branches. Blooms from April to October, usually May and June are months of heaviest bloom.",Nerium,Oleander,Karabi,Kanher,"Thick, leathery, dark green","Long, narrow lanceolate, with entire margin",5 to 21cm long and 1 to 3.5cm broad,Present in pairs to whorls of three,"Smooth, thin, flexible trunk",1st year stems are glaucous,Mature bark is greyish white,,Grow in clusters at the end of branch,White/pink/yellow. often sweet scented,2.5 to 5 cm in diameter,Deeply 5 lobed fringed corolla,Long narrow pair of follicles,5 to 23 cm long ,Splits open at maturity,Releases numerous downy seeds.,,,"Inside H9, H4 and NSS nursery","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1G7TZlIvG0RkQFCntz3IjdklubzElq4u6"" width=""640"" height=""480""></iframe>"
